window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2016-2023,2016,2023,Costa Rica,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.13006541863463297,0.16413520610624258,2998.5376267321303,2395.912555244737,91.89388561306882,-88.64633625805293
2016-2023,2016,2023,Dominican Republic,1,ECFNT,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.560126515237807,0.4865619658432127,631.1935062284549,629.9822596386877,-46.388913461699346,-0.6338989266290274
2016-2023,2016,2023,Dominican Republic,1,ECFNT,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3088604268530746,0.3659468797247176,720.1323355745224,758.1917133900345,42.19613807511585,12.84137311685615
2016-2023,2016,2023,Dominican Republic,1,ECFNT,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.13101305790911838,0.14749115443206967,1551.3768202371753,1488.1408710016467,25.042732949725686,-8.805739116744116
2016-2023,2016,2023,El Salvador,1,EHPM,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.7000344772175285,0.6757294194365995,496.35861881224145,596.1288064723235,-13.276484998239887,68.63011107257404
2016-2023,2016,2023,El Salvador,1,EHPM,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.24008178704291055,0.23780781623464067,806.0379729960515,869.6454876436445,-1.905227636697661,15.198684970204626
2016-2023,2016,2023,El Salvador,1,EHPM,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.059883735739560934,0.08646276432875981,1449.206347010158,1335.0278603217273,37.00112029784982,-8.354810954974589
2016-2023,2016,2023,Mexico,1,ENOE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.6188383787881714,0.5377291864799543,488.97464028176455,545.1360443260693,-41.93794119291942,32.47722916878049
2016-2023,2016,2023,Mexico,1,ENOE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.21613617663382884,0.2554205844973588,646.9606204960426,663.4621108925007,25.73959052675427,3.8906946825956052
2016-2023,2016,2023,Mexico,1,ENOE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.16502544457799975,0.2068502290226869,1198.4358290102464,1107.6340533160526,48.22543787134126,-16.883485750208386
2016-2023,2016,2023,Peru (Lima and Callao),1,EPE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.17076119301865147,0.16024706190092075,587.3769750075082,499.69008067469,-5.714782778604059,-14.51254293621154
2016-2023,2016,2023,Peru (Lima and Callao),1,EPE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.5133440922847873,0.5058392847897282,723.9595704490066,642.9804826886362,-5.1293109780419375,-41.26627006801392
2016-2023,2016,2023,Peru (Lima and Callao),1,EPE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.3158947146965613,0.3339136533093511,1437.2919401950426,1253.6433193166624,24.243898626066507,-59.66820530975836
2016-2023,2016,2023,Argentina,1,EPHC-S2,Educational attainment - low,Low,"Q2,Q3,Q4",0.3666416162133481,0.30060325634445256,865.074150108325,638.5063044668979,-49.64699357553807,-75.58811664535473
2016-2023,2016,2023,Argentina,1,EPHC-S2,Educational attainment - middle,Middle,"Q2,Q3,Q4",0.40743488537110384,0.4505188819435783,1194.8371716545412,883.830534090587,44.77865615481823,-133.41465817893322
2016-2023,2016,2023,Argentina,1,EPHC-S2,Educational attainment - high,High,"Q2,Q3,Q4",0.22592349841554812,0.24887786171196924,1985.639798709175,1487.0135629217027,39.856273432706615,-118.37420747357801
2016-2023,2016,2023,Chile,2,NENE,Educational attainment - low,Low,Q4,0.3193950042830254,0.19847251443745523,632.2,673.7,-78.95633974466506,10.745751013449974
2016-2023,2016,2023,Chile,2,NENE,Educational attainment - middle,Middle,Q4,0.5393233487998478,0.55309769211844,1080.4,1019.0,14.458928181526206,-33.53732595619148
2016-2023,2016,2023,Chile,2,NENE,Educational attainment - high,High,Q4,0.14128164691712677,0.24842979344410487,2659.8,2336.6,267.67749965369666,-62.977368762375086
2019-2023,2019,2023,Bolivia,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5518362942174323,0.48223671167087445,840.9325101168182,764.6155756743275,-55.87273826474439,-39.45864089956361
2019-2023,2019,2023,Bolivia,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3862036368400178,0.44166097508876223,1178.0877494851657,1015.522852700211,60.8259025757132,-67.29086259505931
